time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-06-18 00:00:00,17,16,94,,,100,5.4,,,,
2019-06-18 01:00:00,17,16,94,,,100,5.4,,,,
2019-06-18 02:00:00,17,16,94,,,,0,,,,
2019-06-18 03:00:00,17,16,94,,,,,,,,
2019-06-18 04:00:00,17,16,94,,,10,5.4,,,,
2019-06-18 05:00:00,17,15,88,,,,0,,,,
2019-06-18 06:00:00,16,15,94,,,,,,,,
2019-06-18 07:00:00,17,15,88,,,30,9.4,,,,
2019-06-18 08:00:00,18,16,88,,,50,5.4,,,,
2019-06-18 09:00:00,19,16,83,,,,11.2,,,,
2019-06-18 10:00:00,19,16,83,,,50,11.2,,,,
2019-06-18 11:00:00,20,16,78,,,140,11.2,,,,
2019-06-18 12:00:00,21,16,73,,,50,13,,,,
2019-06-18 13:00:00,22,15.1,65,,,50,16.6,,,,
2019-06-18 14:00:00,22,15.1,65,,,50,14.8,,,,
2019-06-18 15:00:00,23,14,57,,,40,13,,,,
2019-06-18 16:00:00,23,15.1,61,,,50,13,,,,
2019-06-18 17:00:00,24,15,57,,,50,9.4,,,,
2019-06-18 18:00:00,23,15.1,61,,,60,13,,,,
2019-06-18 19:00:00,24,15,57,,,70,11.2,,,,
2019-06-18 20:00:00,22,15.1,65,,,120,11.2,,,,
2019-06-18 21:00:00,20,15,73,,,100,9.4,,,,
2019-06-18 22:00:00,18,15.1,83,,,110,7.6,,,,
2019-06-18 23:00:00,18,15.1,83,,,140,7.6,,,,
2019-06-19 00:00:00,18,15.1,83,,,,,,,,
2019-06-19 01:00:00,17,15,88,,,,0,,,,
2019-06-19 02:00:00,17,15,88,,,,0,,,,
2019-06-19 03:00:00,17,15,88,,,,0,,,,
2019-06-19 04:00:00,16,15,94,,,,0,,,,
2019-06-19 05:00:00,16,15,94,,,,0,,,,
2019-06-19 06:00:00,16,16,100,,,,0,,,,
2019-06-19 07:00:00,17,16,94,,,,0,,,,
2019-06-19 08:00:00,,,,,,,,,,,
2019-06-19 09:00:00,,,,,,,,,,,
2019-06-19 10:00:00,22,15.1,65,,,130,9.4,,,,
2019-06-19 11:00:00,23,15.1,61,,,110,11.2,,,,
2019-06-19 12:00:00,,,,,,,,,,,
2019-06-19 13:00:00,25,15.9,57,,,40,11.2,,,,
2019-06-19 14:00:00,,,,,,,,,,,
2019-06-19 15:00:00,24,16,61,,,50,14.8,,,,
2019-06-19 16:00:00,24,16,61,,,50,13,,,,
2019-06-19 17:00:00,,,,,,,,,,,
2019-06-19 18:00:00,24,14.1,54,,,80,14.8,,,,
2019-06-19 19:00:00,22,15.1,65,,,100,14.8,,,,
2019-06-19 20:00:00,,,,,,,,,,,
2019-06-19 21:00:00,21,17,78,,,110,11.2,,,,
2019-06-19 22:00:00,20,17,83,,,110,7.6,,,,
2019-06-19 23:00:00,20,17,83,,,110,7.6,,,,
2019-06-20 00:00:00,,,,,,,,,,,
2019-06-20 01:00:00,20,17,83,,,100,9.4,,,,
2019-06-20 02:00:00,20,17,83,,,80,9.4,,,,
2019-06-20 03:00:00,,,,,,,,,,,
2019-06-20 04:00:00,18,17,94,1.3,,,,,,,
2019-06-20 05:00:00,19,18,94,,,,0,,,,
2019-06-20 06:00:00,19,18,94,0.3,,100,5.4,,,,
2019-06-20 07:00:00,19,17,88,0.3,,80,5.4,,,,
2019-06-20 08:00:00,,,,,,,,,,,
2019-06-20 09:00:00,18,17,94,,,90,9.4,,,,
2019-06-20 10:00:00,19,18,94,,,100,11.2,,,,
2019-06-20 11:00:00,,,,,,,,,,,
2019-06-20 12:00:00,20,18,88,,,100,16.6,,,,
2019-06-20 13:00:00,19,18,94,,,70,14.8,,,,
2019-06-20 14:00:00,,,,,,,,,,,
2019-06-20 15:00:00,18,18,100,3,,60,16.6,,,,
2019-06-20 16:00:00,,,,,,,,,,,
2019-06-20 17:00:00,18,17,94,0.3,,40,20.5,,,,
2019-06-20 18:00:00,,,,,,,,,,,
2019-06-20 19:00:00,17,17,100,1.5,,10,20.5,,,,
2019-06-20 20:00:00,,,,,,,,,,,
2019-06-20 21:00:00,17,16,94,,,360,20.5,,,,
2019-06-20 22:00:00,17,16,94,,,350,25.9,,,,
2019-06-20 23:00:00,18,15.1,83,,,350,20.5,,,,
2019-06-21 00:00:00,18,15.1,83,,,340,22.3,,,,
2019-06-21 01:00:00,17,14.1,83,,,350,18.4,,,,
2019-06-21 02:00:00,17,12.9,77,,,350,22.3,,,,
2019-06-21 03:00:00,17,11.9,72,,,10,14.8,,,,
2019-06-21 04:00:00,17,11.1,68,,,360,18.4,,,,
2019-06-21 05:00:00,17,11.9,72,,,340,11.2,,,,
2019-06-21 06:00:00,17,12.9,77,,,330,14.8,,,,
2019-06-21 07:00:00,16,14,88,,,280,11.2,,,,
2019-06-21 08:00:00,17,14.1,83,,,310,14.8,,,,
2019-06-21 09:00:00,18,16,88,,,340,20.5,,,,
2019-06-21 10:00:00,19,15.1,78,,,350,13,,,,
2019-06-21 11:00:00,19,15.1,78,,,340,11.2,,,,
2019-06-21 12:00:00,20,15,73,,,330,13,,,,
2019-06-21 13:00:00,21,15.1,69,,,340,13,,,,
2019-06-21 14:00:00,22,13.9,60,,,330,13,,,,
2019-06-21 15:00:00,23,11.1,47,,,340,11.2,,,,
2019-06-21 16:00:00,23,10.1,44,,,,0,,,,
2019-06-21 17:00:00,24,11,44,,,,9.4,,,,
2019-06-21 18:00:00,24,8.8,38,,,350,7.6,,,,
2019-06-21 19:00:00,24,9.9,41,,,330,5.4,,,,
2019-06-21 20:00:00,22,12,53,,,,0,,,,
2019-06-21 21:00:00,21,13.9,64,,,110,9.4,,,,
2019-06-21 22:00:00,20,13.9,68,,,80,14.8,,,,
2019-06-21 23:00:00,18,12,68,,,130,5.4,,,,
2019-06-22 00:00:00,18,12,68,,,100,9.4,,,,
2019-06-22 01:00:00,18,12,68,,,,0,,,,
2019-06-22 02:00:00,18,13.9,77,,,70,11.2,,,,
2019-06-22 03:00:00,17,11.9,72,,,80,14.8,,,,
2019-06-22 04:00:00,17,12.9,77,,,80,16.6,,,,
2019-06-22 05:00:00,16,11,72,,,70,14.8,,,,
2019-06-22 06:00:00,16,11,72,,,70,13,,,,
2019-06-22 07:00:00,16,12,77,,,120,7.6,,,,
2019-06-22 08:00:00,,,,,,,,,,,
2019-06-22 09:00:00,18,12,68,,,90,16.6,,,,
2019-06-22 10:00:00,19,12,64,,,110,16.6,,,,
2019-06-22 11:00:00,20,13,64,,,50,14.8,,,,
2019-06-22 12:00:00,20,11,56,,,50,14.8,,,,
2019-06-22 13:00:00,21,9.9,49,,,60,14.8,,,,
2019-06-22 14:00:00,21,11.1,53,,,50,14.8,,,,
2019-06-22 15:00:00,22,11.1,50,,,50,16.6,,,,
2019-06-22 16:00:00,23,11.1,47,,,50,18.4,,,,
2019-06-22 17:00:00,23,9,41,,,60,18.4,,,,
2019-06-22 18:00:00,23,7.9,38,,,,11.2,,,,
2019-06-22 19:00:00,22,8.1,41,,,110,11.2,,,,
2019-06-22 20:00:00,21,9.9,49,,,90,9.4,,,,
2019-06-22 21:00:00,19,10,56,,,90,5.4,,,,
2019-06-22 22:00:00,18,10.1,60,,,90,7.6,,,,
2019-06-22 23:00:00,18,9.1,56,,,90,5.4,,,,
