time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2017-06-18 00:00:00,28,21.1,66,,,250,11.2,,,,
2017-06-18 01:00:00,27,21.1,70,,,210,5.4,,,,
2017-06-18 02:00:00,26,21,74,,,200,7.6,,,,
2017-06-18 03:00:00,27,20.1,66,,,200,18.4,,,,
2017-06-18 04:00:00,27,21.1,70,,,210,24.1,,,,
2017-06-18 05:00:00,27,21.1,70,,,200,31.7,,,,
2017-06-18 06:00:00,27,21.1,70,,,270,27.7,,,,
2017-06-18 07:00:00,25,18.9,69,,,240,11.2,,,,
2017-06-18 08:00:00,24,19.1,74,,,200,13,,,,
2017-06-18 09:00:00,,,,,,,,,,,
2017-06-18 10:00:00,27,20.1,66,,,220,20.5,,,,
2017-06-18 11:00:00,29,22,66,,,230,25.9,,,,
2017-06-18 12:00:00,29,22,66,,,240,31.7,,,,
2017-06-18 13:00:00,29,22,66,,,240,24.1,,,,
2017-06-18 14:00:00,30,21.9,62,,,220,20.5,,,,
2017-06-18 15:00:00,29,22,66,,,230,18.4,,,,
2017-06-18 16:00:00,28,22.9,74,,,220,22.3,,,,
2017-06-18 17:00:00,28,22.9,74,,,220,18.4,,,,
2017-06-18 18:00:00,29,19,55,,,250,29.5,,,,
2017-06-18 19:00:00,29,19.9,58,,,250,24.1,,,,
2017-06-18 20:00:00,,,,,,,,,,,
2017-06-18 21:00:00,28,16,48,,,260,14.8,,,,
2017-06-18 22:00:00,,,,,,,,,,,
2017-06-18 23:00:00,25,18,65,,,290,13,,,,
2017-06-19 00:00:00,,,,,,,,,,,
2017-06-19 01:00:00,,,,,,,,,,,
2017-06-19 02:00:00,22,16.1,69,,,240,5.4,,,,
2017-06-19 03:00:00,21,16,73,,,250,11.2,,,,
2017-06-19 04:00:00,21,16,73,,,240,5.4,,,,
2017-06-19 05:00:00,21,17,78,,,280,11.2,,,,
2017-06-19 06:00:00,19,16,83,,,240,5.4,,,,
2017-06-19 07:00:00,21,17,78,,,240,7.6,,,,
2017-06-19 08:00:00,,,,,,,,,,,
2017-06-19 09:00:00,23,17,69,,,250,14.8,,,,
2017-06-19 10:00:00,24,17,65,,,240,18.4,,,,
2017-06-19 11:00:00,27,16.9,54,,,240,18.4,,,,
2017-06-19 12:00:00,28,16,48,,,250,25.9,,,,
2017-06-19 13:00:00,27,14.1,45,,,270,20.5,,,,
2017-06-19 14:00:00,28,13.9,42,,,280,24.1,,,,
2017-06-19 15:00:00,,,,,,,,,,,
2017-06-19 16:00:00,28,12,37,,,240,25.9,,,,
2017-06-19 17:00:00,19,16,83,,,290,27.7,,,,
2017-06-19 18:00:00,21,16,73,,,270,13,,,,
2017-06-19 19:00:00,21,13.9,64,,,220,13,,,,
2017-06-19 20:00:00,21,13.9,64,,,220,16.6,,,,
2017-06-19 21:00:00,21,16,73,,,220,13,,,,
2017-06-19 22:00:00,21,13.9,64,,,260,22.3,,,,
2017-06-19 23:00:00,19,13,68,,,260,14.8,,,,
2017-06-20 00:00:00,19,12,64,,,250,16.6,,,,
2017-06-20 01:00:00,18,13.1,73,,,250,18.4,,,,
2017-06-20 02:00:00,17,12.9,77,,,250,20.5,,,,
2017-06-20 03:00:00,17,12.9,77,,,260,13,,,,
2017-06-20 04:00:00,17,12.9,77,,,260,20.5,,,,
2017-06-20 05:00:00,17,12.9,77,,,250,14.8,,,,
2017-06-20 06:00:00,16,14,88,,,240,16.6,,,,
2017-06-20 07:00:00,18,13.9,77,,,240,18.4,,,,
2017-06-20 08:00:00,,,,,,,,,,,
2017-06-20 09:00:00,21,16,73,,,250,22.3,,,,
2017-06-20 10:00:00,22,16.1,69,,,270,20.5,,,,
2017-06-20 11:00:00,24,14.1,54,,,280,16.6,,,,
2017-06-20 12:00:00,26,13.2,45,,,270,31.7,,,,
2017-06-20 13:00:00,26,12.1,42,,,280,27.7,,,,
2017-06-20 14:00:00,28,12,37,,,280,22.3,,,,
2017-06-20 15:00:00,27,11.9,39,,,310,14.8,,,,
2017-06-20 16:00:00,28,12,37,,,270,13,,,,
2017-06-20 17:00:00,28,11.1,35,,,250,24.1,,,,
2017-06-20 18:00:00,28,12,37,,,250,20.5,,,,
2017-06-20 19:00:00,28,12,37,,,260,20.5,,,,
2017-06-20 20:00:00,27,11.9,39,,,280,14.8,,,,
2017-06-20 21:00:00,22,13.1,57,,,320,24.1,,,,
2017-06-20 22:00:00,18,16,88,,,320,22.3,,,,
2017-06-20 23:00:00,19,16,83,,,290,7.6,,,,
2017-06-21 00:00:00,,,,,,,,,,,
2017-06-21 01:00:00,18,16,88,,,240,5.4,,,,
2017-06-21 02:00:00,17,15,88,,,220,5.4,,,,
2017-06-21 03:00:00,17,16,94,,,,0,,,,
2017-06-21 04:00:00,16,16,100,,,240,5.4,,,,
2017-06-21 05:00:00,17,15,88,,,270,5.4,,,,
2017-06-21 06:00:00,16,14,88,,,,0,,,,
2017-06-21 07:00:00,16,15,94,,,,0,,,,
2017-06-21 08:00:00,18,13.9,77,,,360,7.6,,,,
2017-06-21 09:00:00,21,16,73,,,330,7.6,,,,
2017-06-21 10:00:00,,,,,,,,,,,
2017-06-21 11:00:00,21,15.1,69,,,20,9.4,,,,
2017-06-21 12:00:00,21,13.9,64,,,10,11.2,,,,
2017-06-21 13:00:00,22,16.1,69,,,350,9.4,,,,
2017-06-21 14:00:00,,,,,,,,,,,
2017-06-21 15:00:00,23,14,57,,,10,11.2,,,,
2017-06-21 16:00:00,21,12.9,60,,,20,11.2,,,,
2017-06-21 17:00:00,23,9,41,,,10,11.2,,,,
2017-06-21 18:00:00,23,12,50,,,70,11.2,,,,
2017-06-21 19:00:00,23,11.1,47,,,60,11.2,,,,
2017-06-21 20:00:00,22,12,53,,,110,13,,,,
2017-06-21 21:00:00,20,12,60,,,90,11.2,,,,
2017-06-21 22:00:00,18,13.1,73,,,100,9.4,,,,
2017-06-21 23:00:00,18,12,68,,,100,7.6,,,,
2017-06-22 00:00:00,,,,,,,,,,,
2017-06-22 01:00:00,20,11,56,,,140,11.2,,,,
2017-06-22 02:00:00,19,12,64,,,120,11.2,,,,
2017-06-22 03:00:00,19,12,64,,,130,9.4,,,,
2017-06-22 04:00:00,20,12,60,,,160,14.8,,,,
2017-06-22 05:00:00,21,11.9,56,,,140,14.8,,,,
2017-06-22 06:00:00,20,13.9,68,,,160,13,,,,
2017-06-22 07:00:00,,,,,,,,,,,
2017-06-22 08:00:00,23,19,78,,,210,11.2,,,,
2017-06-22 09:00:00,26,21,74,,,230,13,,,,
2017-06-22 10:00:00,28,22,70,,,240,14.8,,,,
2017-06-22 11:00:00,28,22,70,,,240,11.2,,,,
2017-06-22 12:00:00,24,22.1,89,,,240,7.6,,,,
2017-06-22 13:00:00,,,,,,,,,,,
2017-06-22 14:00:00,30,21.9,62,,,210,14.8,,,,
2017-06-22 15:00:00,31,20.9,55,,,220,14.8,,,,
2017-06-22 16:00:00,31,22.1,59,,,210,14.8,,,,
2017-06-22 17:00:00,31,22.1,59,,,210,13,,,,
2017-06-22 18:00:00,31,20.9,55,,,220,18.4,,,,
2017-06-22 19:00:00,28,22,70,,,220,16.6,,,,
2017-06-22 20:00:00,30,21.9,62,,,220,18.4,,,,
2017-06-22 21:00:00,29,22,66,,,230,18.4,,,,
2017-06-22 22:00:00,28,22,70,,,210,16.6,,,,
2017-06-22 23:00:00,27,21.1,70,,,200,16.6,,,,
