time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2016-06-18 00:00:00,19.4,11.7,61,,,,0,,,,
2016-06-18 01:00:00,18.8,13.2,70,,,,0,,,,
2016-06-18 02:00:00,18,13.9,77,,,,0,,,,
2016-06-18 03:00:00,18.3,15,81,,,,0,,,,
2016-06-18 04:00:00,15.5,13.9,90,,,,0,,,,
2016-06-18 05:00:00,16,12.9,82,,,180,5.4,,,,
2016-06-18 06:00:00,16.6,15,90,,,,0,,,,
2016-06-18 07:00:00,17.7,15.5,87,,,,0,,,,
2016-06-18 08:00:00,23,19,78,,,,0,,,,
2016-06-18 09:00:00,23.8,18.9,74,,,340,7.6,,,,
2016-06-18 10:00:00,25,15,54,,,50,5.4,,,,
2016-06-18 11:00:00,26,13.2,45,,,70,9.4,,,,
2016-06-18 12:00:00,27.7,15.4,47,,,,7.6,,,,
2016-06-18 13:00:00,27.7,15,46,,,30,5.4,,,,
2016-06-18 14:00:00,28,13.1,40,,,20,7.6,,,,
2016-06-18 15:00:00,28.8,12.7,37,,,60,11.2,,,,
2016-06-18 16:00:00,28.8,12.2,36,,,60,13,,,,
2016-06-18 17:00:00,29,12,35,,,70,13,,,,
2016-06-18 18:00:00,28.8,10.9,33,,,50,11.2,,,,
2016-06-18 19:00:00,28.3,11.8,36,,,60,11.2,,,,
2016-06-18 20:00:00,26,12.1,42,,,60,7.6,,,,
2016-06-18 21:00:00,24.4,13.9,52,,,120,5.4,,,,
2016-06-18 22:00:00,,,,,,,,,,,
2016-06-18 23:00:00,22,16.1,69,,,130,5.4,,,,
2016-06-19 00:00:00,22.2,16,68,,,150,11.2,,,,
2016-06-19 01:00:00,22.7,14.3,59,,,,0,,,,
2016-06-19 02:00:00,19,16,83,,,,0,,,,
2016-06-19 03:00:00,19.4,13.8,70,,,,0,,,,
2016-06-19 04:00:00,22.7,13.7,57,,,210,9.4,,,,
2016-06-19 05:00:00,,,,,,,,,,,
2016-06-19 06:00:00,22.2,15.1,64,,,220,9.4,,,,
2016-06-19 07:00:00,23.3,16.6,66,,,220,9.4,,,,
2016-06-19 08:00:00,24,17,65,,,220,9.4,,,,
2016-06-19 09:00:00,26.1,16.6,56,,,230,13,,,,
2016-06-19 10:00:00,,,,,,,,,,,
2016-06-19 11:00:00,,,,,,,,,,,
2016-06-19 12:00:00,,,,,,,,,,,
2016-06-19 13:00:00,32.2,15.7,37,,,220,13,,,,
2016-06-19 14:00:00,33,15.1,34,,,200,14.8,,,,
2016-06-19 15:00:00,33.3,14.4,32,,,200,18.4,,,,
2016-06-19 16:00:00,33.3,14.4,32,,,210,13,,,,
2016-06-19 17:00:00,33,14.1,32,,,220,16.6,,,,
2016-06-19 18:00:00,32.7,14.8,34,,,210,13,,,,
2016-06-19 19:00:00,32.7,15.7,36,,,210,11.2,,,,
2016-06-19 20:00:00,32,15.9,38,,,250,11.2,,,,
