time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2022-06-18 00:00:00,22,12,53,0,,350,27.7,,1015,,1
2022-06-18 01:00:00,21,11.1,53,0,,10,27.7,,1016,,1
2022-06-18 02:00:00,19,10,56,0,,20,33.5,,1018,,1
2022-06-18 03:00:00,15,6,55,0,,20,38.9,,1018,,1
2022-06-18 04:00:00,15,4.9,51,0,,30,35.3,,1018,,1
2022-06-18 05:00:00,15,6,55,0,,30,27.7,,1019,,1
2022-06-18 06:00:00,15,8,63,0,,30,24.1,,1019,,1
2022-06-18 07:00:00,15,8,63,0,,30,24.1,,1020,,1
2022-06-18 08:00:00,16,8,59,0,,10,29.5,,1020,,1
2022-06-18 09:00:00,16,9,63,0,,350,24.1,,1021,,1
2022-06-18 10:00:00,17,8.9,59,0,,360,22.3,,1021,,1
2022-06-18 11:00:00,18,8,52,0,,360,18.4,,1022,,1
2022-06-18 12:00:00,18,7.1,49,0,,10,20.5,,1022,,1
2022-06-18 13:00:00,19,8,49,0,,360,20.5,,1022,,1
2022-06-18 14:00:00,20,7,43,0,,350,20.5,,1022,,1
2022-06-18 15:00:00,21,4.1,33,0,,360,16.6,,1022,,1
2022-06-18 16:00:00,21,4.1,33,0,,20,16.6,,1022,,1
2022-06-18 17:00:00,21,4.1,33,0,,20,16.6,,1022,,3
2022-06-18 18:00:00,21,4.1,33,0,,10,14.8,,1022,,3
2022-06-18 19:00:00,21,5,35,0,,10,13,,1022,,3
2022-06-18 20:00:00,18,4.9,42,0,,40,13,,1022,,1
2022-06-18 21:00:00,18,4.9,42,0,,40,13,,1022,,1
2022-06-18 22:00:00,18,4.2,40,0,,40,14.8,,1023,,1
2022-06-18 23:00:00,17,5.9,48,0,,40,18.4,,1023,,1
2022-06-19 00:00:00,16,6.1,52,0,,40,13,,1023,,1
2022-06-19 01:00:00,16,5,48,0,,40,9.4,,1023,,1
2022-06-19 02:00:00,16,5,48,0,,40,9.4,,1023,,1
2022-06-19 03:00:00,16,5,48,0,,40,9.4,,1023,,1
2022-06-19 04:00:00,16,5,48,0,,30,11.2,,1023,,1
2022-06-19 05:00:00,15,6,55,0,,50,5.4,,1024,,3
2022-06-19 06:00:00,16,9,63,0,,20,5.4,,1024,,2
2022-06-19 07:00:00,16,9,63,0,,20,5.4,,1025,,3
2022-06-19 08:00:00,18,8,52,0,,40,9.4,,1026,,3
2022-06-19 09:00:00,19,8,49,0,,20,13,,1026,,3
2022-06-19 10:00:00,20,9,49,0,,10,7.6,,1026,,3
2022-06-19 11:00:00,20,9,49,0,,10,7.6,,1026,,1
2022-06-19 12:00:00,20,10.1,53,0,,10,13,,1026,,1
2022-06-19 13:00:00,20,10.1,53,0,,20,13,,1025,,1
2022-06-19 14:00:00,21,7.9,43,0,,330,9.4,,1025,,1
2022-06-19 15:00:00,22,8.8,43,0,,30,9.4,,1024,,1
2022-06-19 16:00:00,22,1.1,25,0,,30,9.4,,1024,,3
