time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-06-18 00:00:00,27,22,74,,,230,9.4,,,,
2018-06-18 01:00:00,27,21.1,70,,,230,14.8,,,,
2018-06-18 02:00:00,27,22,74,,,230,13,,,,
2018-06-18 03:00:00,26,22.1,79,,,230,13,,,,
2018-06-18 04:00:00,26,22.1,79,,,220,11.2,,,,
2018-06-18 05:00:00,25,21.9,83,,,240,13,,,,
2018-06-18 06:00:00,25,21.9,83,,,230,14.8,,,,
2018-06-18 07:00:00,25,23.1,89,,,230,14.8,,,,
2018-06-18 08:00:00,26,23.1,84,,,230,16.6,,,,
2018-06-18 09:00:00,28,22.9,74,,,250,20.5,,,,
2018-06-18 10:00:00,31,22.9,62,,,270,22.3,,,,
2018-06-18 11:00:00,31,22.9,62,,,280,16.6,,,,
2018-06-18 12:00:00,32,23,59,,,280,24.1,,,,
2018-06-18 13:00:00,33,22.2,53,,,290,25.9,,,,
2018-06-18 14:00:00,34,21.1,47,,,250,35.3,,,,
2018-06-18 15:00:00,33,22.2,53,,,240,33.5,,,,
2018-06-18 16:00:00,34,21.1,47,,,250,29.5,,,,
2018-06-18 17:00:00,33,22.2,53,,,240,29.5,,,,
2018-06-18 18:00:00,34,21.1,47,,,260,25.9,,,,
2018-06-18 19:00:00,32,22.1,56,,,270,27.7,,,,
2018-06-18 20:00:00,32,22.1,56,,,270,14.8,,,,
2018-06-18 21:00:00,26,21,74,,,300,22.3,,,,
2018-06-18 22:00:00,26,22.1,79,,,250,9.4,,,,
2018-06-18 23:00:00,25,21.9,83,,,340,18.4,,,,
2018-06-19 00:00:00,25,21.9,83,,,60,7.6,,,,
2018-06-19 01:00:00,25,21.9,83,,,330,5.4,,,,
2018-06-19 02:00:00,24,23,94,,,360,5.4,,,,
2018-06-19 03:00:00,24,23,94,,,350,7.6,,,,
2018-06-19 04:00:00,22,21,94,,,50,14.8,,,,
2018-06-19 05:00:00,22,21,94,,,40,13,,,,
2018-06-19 06:00:00,21,20,94,,,30,11.2,,,,
2018-06-19 07:00:00,21,20,94,,,30,11.2,,,,
2018-06-19 08:00:00,21,20,94,,,30,11.2,,,,
2018-06-19 09:00:00,21,18.9,88,,,60,14.8,,,,
